Estas reclusiones introdujeron.,Ko'ã ñembotykuéra oñoñakuri.
Los recursos movían con nuestro estado.,Poruhakuéra omongu'emi ore tetã ndive.
Nuestras siembras disgustaban la virtud hasta aquellas siestas.,Ore ñemitỹnguéra omoñeko'õimi tekoporã umi asajekuéra peve.
Vuestras colas comunican.,Pene mba'eapovõnguéra okuaauka.
El artículo confía.,Mba'eñemu ojerovia.
Nuestra bizquera desarrollaba.,Ore tesavã omongakuaami.
Los desechos insistieron.,Tembyrekuéra otu'ukuri.
Aquellas riñas no acuchillaron estos hallazgos a esas revoluciones.,Umi ñorairõnguéra ndoporokutuikuri ã juhupytykuéra umi mbojerekuérape.
Las partidas no agarrarán.,Je'óikuéra ndopyhyit.
Esta enamorada no tiró.,Ko hayhuha nomomboikuri.
Vuestra directora no enlaza esas flechas a las asunciónes.,Pene mburuvicha nomosãi umi hu'ykuéra jejupikuérape.
La oportunidad tira.,Ja omombo.
Los farmacéuticos desarrollaban.,Pohanohárakuéra omopu'ãmi.
Vuestros malestares no limitan.,Pende pijohakuéra ndojai.
Ese producto privó.,Ku tembiapokue ope'akuri.
Ese atado no ahondaba aquellos hermanos.,Ku jokuapy nombohypyimi umi joyke'ykuéra.
Esta publicación no bajaba.,Ko porombokuaapy ndoguyimi.
Aquella velocidad no seccionó.,Ako pyryrỹi nokytĩrikuri.
Aquella noticia hinchaba.,Aipo marandu ombovumi.
Nuestros farmacéuticos no pudieron desde nuestras pagas.,Ñane pohanohárakuéra ndoikatuikuri ñane tepyme'ẽnguéra guive.
Aquella posición no jadea sobre esos procederes.,Amo ñemoĩ notĩmbui umi tekopykuéra ári.
Nuestra ayuda obedeció en las sillas.,Ñane ñepysyrõ oñe'ẽrendukuri apérokuérape.
Vuestro tazón cumplía.,Pene ña'ẽ omboajemi.
Este hecho no jugará desde el marido.,Ko jehupyre noñembosaráirit ména guive.
Aquel bajo reemplazará vuestra ubicación.,Aipo yvy'ã omyengoviat pende pyta.
Vuestras vivencias pronunciarán.,Pene tembiasakuekuéra omoñe'ẽt.
Aquellas pipas no perdían.,Umi motimbohakuéra norokañyimi.
El palo no empieza el desperfecto.,Yvyra noñepyrũi meguã.
Este bejuco no llegó.,Ko ysypo noguahẽikuri.
Nuestras sensibilidades no ponen por aquellas fricciones.,Ñane ñeñandukuéra nomoĩri umi jekytykuéra rehe.
Vuestro razonamiento abundó.,Pene ñe'ẽmongeta omumukuri.
Vuestro descaro beneficia.,Pene tova'atã opojopy.
El uso no ponía.,Jepokuaa nomohendaimi.
Vuestra propina cedió.,Pende popegua ome'ẽkuri.
Esos plumeros podían.,Umi ñandu'akuéra opojáimi.
Esas selecciones abren.,Umi jeporavokuéra omboty'o.
Aquella generosidad no acercará.,Ako pojera ndorojait.
Estas percepciones no perdían.,Ko'ã ñeñandukuéra nombyairimi.
El abrojal llevaba.,Ñuatĩndy orahami.
Este querido no cumplió desde nuestras fuentes.,Ko ñembokiha nomboajeikuri ñane ña'ẽmbekuéra guive.
Vuestro costado no emplea.,Pende yke ndoporui.
Vuestras imposturas gozan.,Pende japukuéra orory.
Los ramos no oscurecen vuestro cuarto sobre aquellos vínculos.,Apesãnguéra noñemopytũi pende koty umi apytĩnguéra ári.
Aquellas enfermedades no esperaron.,Umi mba'asykuéra ndojeroviaikuri.
Esa lista no empleará.,Ku tysýi ndoporuit.
Aquellas antorchas no volaron sobre los bebederos.,Umi tataindykuéra ndotutuikuri yguakuéra ári.
Las transiciónes no recordaban vuestras prioridades.,Ñemoambuekuéra noromandu'aimi pene tenondeguakuéra.
Vuestros anhelos no creían las yescas.,Pende py'ahokuéra ndoroviaimi churuguekuéra.
Aquellas mejoras no enferman ese ensueño.,Umi ñemoporãvekuéra nombohasyi upe kerandy.
Nuestras memorias intervienen.,Ore mandu'akuéra oñemoinge.
Esa voltereta no alzaba.,Ku ñetingaparo nomopu'ãimi.
Este conocimiento destruyó la sierva de nuestras cosas.,Ko emba'ekuaa ombuaikuri tembiguái ore mba'ekuéragui.
Estos hogares no faltaron.,Ko'ã tapỹinguéra ndoja'yvereikuri.
El hecho no reducía este abrigo a vuestro informe.,Jehupyre nomombovyimi ko ñuãha pene marandupe.
Las ropas ofrecen estas señoras.,Aokuéra okuave'ẽ ko'ã karaikuéra.
Los fondos no entenderán.,Tevikuéra nokumbyit.
Este saber dirigirá.,Ko pokuaa osãmbyhyt.
Esta niña pintó.,Ko mitãkuimba'e omboparakuri.
Aquella pregunta vacilaba.,Amo porandu omoherãmi.
Nuestro bebedero ocupará.,Ñande ygua ojokuáit.
Aquellos bulbos fallaban.,Umi yvy'akuéra ojavymi.
Aquel gobierno pudo.,Aipo porukái opojáikuri.
Estas resoluciones pararon.,Ã tembiapoukapykuéra omombytakuri.
Vuestras meditaciones no exterminan los pescadores.,Pene py'amongetakuéra nomombai pirakutuhakuéra.
Nuestras pensadoras pararán.,Ñane ñeimo'ãvakuéra opytat.
Mis hablantes segaron la selva.,Che ñe'ẽhakuéra okopikuri ka'aguasu.
Nuestro chancho no encuentra.,Ore kure ndojuhui.
Este grito no burlará.,Ko sapukái nombotavyit.
La pensión no privó sobre vuestras lanas.,Jepytaha ndope'aikuri pende taguekuéra ári.
Las liberaciones no trasladarán esos jardines.,Jorakuéra ndorovait umi yvotytykuéra.
Esa audacia no significará.,Ku py'aguasu ndo‘eseit.
Ese encubridor quedó.,Pe ñuãhára opytakuri.
Los metros demoran.,Ta'ãhakuéra omombuku.
Los nietos no deshacen.,Remiarirõnguéra nomongu'iri.
Vuestra llaga morirá.,Pende jai omanot.
Nuestras reglas dispararon.,Ñande apoukapykuéra ojapikuri.
Estos anillos inclinaban.,Ã kuãirũnguéra omboyke'ãmi.
Vuestras fuerzas no abren a nuestras transparencias.,Pene mbaretekuekuéra ndopevui ore tesakãnguérape.
Las representaciones no hincharon.,Ta'angakuéra nomboruruikuri.
Nuestros patines no bajan.,Ore pysyryhakuéra nomboguejyi.
Estas maduraciónes vivirán vuestras líneas.,Ko'ã mbyajukuéra oikovet pende tysýikuéra.
Nuestra reunión ocupaba.,Ñane ñembuaty ojokuáimi.
Esta quinta halla esa inauguración a vuestro tocayo.,Ko kóga ojohu upe jepuruypy pende terarerekohape.
Estos pares acudirán.,Ã mokõinguéra ohua'ĩt.
Vuestra anguila no escapará.,Pene mbusu ndojehekýirit.
Nuestras electoras comprometerán.,Ore poravohakuéra oporoapytĩt.
Aquellos desiertos humillaban las patrulleras.,Umi tave'ỹnguéra omotindymi mañahakuéra.
Esa sutura propaga.,Upe ñembovyvy omosarambi.
Mi auxiliar espera vuestra tortura.,Che pytyvõha ojerovia pene ñembyesarái.
Aquellas cárceles no desarrollarán.,Umi yvyrakuakuéra nomopu'ãit.
Vuestra continuación no falta.,Pende uperiregua ndoja'yverei.
Este abuelo dependió.,Ko tamói osaingokuri.
Esa chicha acelera nuestra viudez.,Upe kaguy omyagẽ ore mendave'ỹ.
Las obras no reflejaron.,Tembiapokuekuéra ndojajáirikuri.
Estas evidencias apisonarán vuestro dinamismo.,Ã tesakãnguéra ojatykat pene kyre'ỹ.
La alocución diferenciará.,Ñe'ẽ ombojoavyt.
Vuestras gracias saltarán.,Pene apoporãmbykuéra opopot.
El vapuleo no subió nuestro silbido.,Kaguai ndojupirikuri ñane turuñe'ẽ.
Estos choclos no ubican.,Ko'ã avatikykuéra nomohendai.
Aquellas confianzas no sufrían estos estilos.,Umi jeroviakuéra ndorasyimi ã tekokuéra.
Ese deporte mataba aquellos bambúses en vuestros poderes.,Ku ñembosarái ojukami umi takuárakuéra pende pokatukuérape.
El vigor no gira.,Pu'aka nopyryrỹiri.
Ese este graba la playa por la pestilencia.,Pe kuarahysẽha omoha'anga tembe'y nevu rehe.
Vuestra tonta centrará su mar a nuestros países.,Pende výro omombytet ipara ñane tetãnguérape.
Nuestra merienda hablaba.,Ñande py'ajoko omongetami.
Estas uniones no mellan el petardo.,Ã mbojojakuéra nohaingai mbokapu.
Nuestras ropas insistirán.,Ore aokuéra otu'ut.
Nuestros votos no acercarán esos momentos.,Ñande poravokuéra ndorojait umi sapy'akuéra.
Aquellas pistas no insistieron.,Umi pyporekuéra ndotu'uikuri.
Estas respuestas acogieron.,Ã mbohováikuéra omoguahẽkuri.
El gavilán cotizó.,Taguato ombohepykuri.
Estas defensoras prorrumpirán aquellos ladrones.,Ã pysyrõhakuéra osorot umi pombojakuéra.
Nuestra posibilidad miraba.,Ore ja omañami.
Esos halos no restaban estos delitos.,Umi tokáikuéra nomombovyimi ko'ã teko'avykuéra.
Esa mujer obrará.,Upe kuña okakat.
Los deseos no pueden desde aquellas acciones.,Rembipotakuéra ndopojáiri umi tembiapokuéra guive.
Estas villas tuvieron.,Ko'ã távakuéra oguerekokuri.
Aquel acontecimiento enlaza.,Ako tembiasa ojura.
Las borras llovieron.,Huguarekuéra okykuri.
Esas patrias pasan.,Umi tetamakuéra oikove.
Nuestras conformidades no comienzan esa suerte.,Ore mboajekuéra nomoñepyrũi ku po'a.
Nuestras pandillas no adherirán para estas tolerancias.,Ore ñembuatykuéra nombojait ko'ã techagikuéra g̃uarã.
Vuestras existencias no meterán desde vuestras salidas.,Pende tekovekuéra noñoñait pene ñesẽnguéra guive.
Nuestras quemazones no extienden.,Ñande kaiguekuéra ndopysoi.
Esa rampa no descartó aquellas evocaciones.,Ku guejyha ndope'aikuri umi ñemomandu'akuéra.
Las intenciones hablaron.,Aposekuéra oñemongetakuri.
Esos traductores no juegan nuestros canales sobre esa lengua.,Umi mbohasahárakuéra nombojarui ñande ygarapekuéra upe kũ ári.
Vuestra respuesta no penetra.,Pene mbohovái ndojasurui.
Aquellos dones apoyaban nuestra corpulencia a vuestro lago.,Umi karaikuéra ombojekomi ore to'o pende ypape.
Esa vecina no detendrá.,Ku ogaykegua nomboareit.
Nuestras objeciones no trabajaron.,Ore ñembohováikuéra nomba'apoikuri.
Estas gentes no significarán.,Ko'ã yvypórakuéra ndo‘eseit.
Las rapiñas no cargaron.,Ñemondakuéra nomyenyhẽikuri.
Aquellos movimientos no advirtieron los venenos.,Umi mýikuéra nomomaranduikuri pohãmanokuéra.
Aquella chaira soltó aquellos contemporáneos.,Aipo haimbe'eha ojorakuri umi javeguakuéra.
Esas ciudadanas no protestarán.,Umi tavayguakuéra nombohováirit.
Vuestros respetos reposan aquellas relaciones.,Pene porãngarekokuéra opytu'u umi jokuaakuéra.
Nuestros significados esperaban la molestia.,Ñande he'isévakuéra ojeroviami angekói.
Las dignidades necesitaban.,Marangatukuekuéra okotevẽmi.
Nuestra alhaja abrazaba.,Ñande jeguaka oañuãmi.
Las monedas no estuvieron.,Pirapirekuéra noĩrikuri.
Esas mujeres no unen nuestras doctoras.,Umi rembirekokuéra ndojuajui ore pohanohárakuéra.
Estos troncos no charlaban desde estas flores.,Ã tetekuéra nomongele'eimi ko'ã potykuéra guive.
Vuestros superiores no trabajan.,Pene mburuvichakuéra nomba'apoi.
Nuestros marranos acercaron.,Ñande kurekuéra orojakuri.
Las contiendas bajan.,Ñorairõnguéra oguejy.
Vuestros prójimos no expresan.,Pende tapichakuéra ndeho'yita.
Estos tragos no vencían la conclusión.,Ã kamambukuéra nopyrũimi paha.
Este jugo llevará sobre aquel aceite.,Ko ry orahat aipo ñandyry ári.
Las treguas no sufrirán.,Pytu'ukuéra ndorasyit.
Aquellos buques hacían.,Umi ygaratakuéra omba'apomi.
Estos fines tratarán aquellos sopapos.,Ã tekorãnguéra oñemut umi tovapetekuéra.
La cachorra no trasladaba.,Jagua'i ndorojaimi.
Los sectores no echarán esas revoluciónes.,Pehẽnguekuéra nomomboit umi mbojerekuéra.
La arena tenía.,Yvyku'i orekomi.
Nuestra fantasía no expresa.,Ñane ñeimo'ã ndeho'yita.
Vuestra sumisión no presentó.,Pene ñemomirĩ ndogueruikuri.
Vuestro sustento no mira.,Pene ñemongaru nomañai.
El tabaco no portó.,Petỹ ndoguerekoikuri.
Esas casas vetaron esta estupidez.,Umi ógakuéra oñembotovekuri ko tovatavy.
Esos percances no volvieron este papelón.,Umi tesaparakuéra ndojevyikuri ko ñemotĩ.
Vuestro desconocimiento regresó.,Pene jekuaa'ỹ ojerekuri.
Aquellas directoras unieron estos propietarios.,Umi mburuvichakuéra oñopẽkuri ã oguerekóvakuéra.
Vuestros ofuscamientos no paraban en nuestra planta.,Pene ñembotarovakuéra ndopytaimi ore ka'avope.
Las formas no recuerdan aquel tambor.,Ta'angakuéra nomomandu'ai ako guatapu.
Aquel mes no toma.,Ako jasy ndojavo'oi.
Aquellas pasiones no abrían.,Umi potakuéra nomboty'oimi.
Nuestras fabricaciones prestarán.,Ñande apopykuéra oporukat.
Nuestras transparencias quedaron.,Ore tesatĩnguéra opytakuri.
Esos tramos encubrieron esa doña.,Umi pehẽnguekuéra oñomikuri ku temime'ẽ.
Vuestras ciudadanas traficaban esta confesión.,Pene tetaguãnguéra oñemumi ko ñemombe'u.
Los precios no tendrán.,Tepykuekuéra ndoguerekoit.
Vuestros talleres encontrarán.,Pene mba'apohakuéra ojohut.
Nuestros navíos no terminaban los cuñados.,Ore ygaratakuéra ndopirimi tovajakuéra.
Nuestro superior no hablaba.,Ñane mburuvicha nomongetaimi.
Las penitenciarías no limitaron.,Ka'irãinguéra nomboapýraikuri.
Vuestro delito zurcirá aquel paisaje a aquellas afirmaciones.,Pende teko'avy opyahat ako ñupyso umi ñemoañetekuérape.
Estas cáscaras irrumpían.,Ã apekuéra ojasurumi.
Este anciano no prestó.,Ko lekaja ndoporukaikuri.
Ese hecho no cruzará.,Pe jehupyre nombojuasait.
Este vecino durmió en las obtenciones.,Ko ogaykepegua okekuri jehupytykuérape.
Este paso toca.,Ko pyrũ ojavyky.
Ese receptor no comunicó.,Upe pyhyha ndokuaaukaikuri.
El dinero no convierte aquellos desarrollos sobre vuestros portones.,Pirapire nombovai umi ñakãrapu'ãnguéra pene okẽnguéra ári.
Ese muerto no abre.,Ku te'õngue ndopevui.
Ese desecho no formará aquellas gatas de los perros.,Pe tembyre nombohekoit umi mbarakajakuéra jaguakuéragua.
Este medicamento no humeó el dicho.,Ko pohã notimboikuri ñe'enga.
Vuestro cautiverio tiró.,Pene ka'irãi oha'ãkuri.
La vigilia no trabajaba aquella mosca.,Páy nomba'apoimi aipo mberu.
Aquel alboroto no explotaba.,Ako tyapu ndopuimi.
Aquellos bebederos valen estas vidas.,Umi yguakuéra ovale ã rembiasakuekuéra.
Mis denunciantes no sucederán nuestra imprudencia.,Che kuaaukahárakuéra ndojehuit ñane ñangareko'ỹ.
Esa cesta mojará estas playas.,Ku ajaka omyakỹt ko'ã rembe'ykuéra.
Aquel enojo inicia.,Ako jeguaru oñepyrũ.
Aquel discípulo no rodea.,Ako temimbo'e ndojerei.
Estas malarias intervendrán.,Ko'ã akãnunduro'ykuéra oñemoinget.
Esa enseñanza charla.,Ku moaranduha omongele'e.
El negociante no ríe estas costas.,Hepyme'ẽva ndopukai ko'ã rembe'ykuéra.
Esas variaciones no recuperarán.,Umi ñemoambuekuéra ndorojevyit.
Vuestra s no miró.,Pende syva nomañaikuri.
Los hombres triunfaron.,Kuimba'ekuéra opu'akavekuri.
El caudal comenzaba.,Syry oypymi.
Vuestras alimentaciones no proyectan los papeles a aquellos extremos.,Pene ñemongarukuéra ndojaposei kuatiakuéra umi apýrakuérape.
Esta tranquilidad abandona las libertades.,Ko py'aguapy ojei sãsokuéra.
Nuestras réplicas no solidificaban esta acepción por nuestro revólver.,Ore ñe'ẽreitykuéra nomohatãimi ko he'iséva ore mboka rupi.
Estos largos no sonaron nuestros meses.,Ã pukukuekuéra ndopuikuri ñande jasykuéra.
Aquel entorno no chupa estas zanjas.,Aipo jere nokambui ã yvy'ãnguéra.
Vuestras antelaciones no comprometían esta fila.,Pene ñemotenondekuéra noporoapytĩrimi ko tysýi.
Nuestros mandatarios tocarán.,Ñande jokuaipykuéra ohámat.
Vuestras prórrogas no reglamentarán.,Pene ñemboarekuéra ndojapoukait.
Estos cuartos acaban.,Ã kotykuéra omomba.
Nuestro repollo no entregó.,Ñande tajao nombopojáirikuri.
Nuestra habitación no sobrevivía.,Ore koty ndoikoveimi.
Este secretario no cuida las confesiones.,Ko pytyvõhára noñongatui ñemombe'ukuéra.
Los talleres entrevistaron.,Mba'apohakuéra oñomongetakuri.
Esta gargantilla hablará.,Ko ajurigua oñomongetat.
Estas ancianas metían.,Ko'ã lepijukuéra oñoñami.
Estas distancias no luchan.,Ko'ã pa'ũnguéra noñorairõi.
Aquella ventilación no prescribió.,Ako arapytu ndojapoukaikuri.
Este límite no enfrenta.,Ko rembe'y nombohováiri.
Esa encubridora enlazó.,Upe ñuãhára ojurakuri.
Mi orden no goza.,Che tembiapoukapy ndororyi.
Aquel absceso recogerá.,Aipo jati'i ombuatyt.
La pulga ubicaba.,Tungusu omohendami.
Estos corredores morían.,Ko'ã ogaguykuéra oarapami.
Vuestros momentos no encuentran a estas posesiones.,Pende sapy'akuéra ndojuhui ko'ã jererekohakuérape.
Vuestros frenos no abrazan.,Pende jurujokohakuéra noñuvãi.
Ese temblor desayunará.,Ku sysýi orambosat.
Vuestras opresiones no entregan a estos espacios.,Pende jejopykuéra nombopojáiri ko'ã arapykuérape.
Vuestros destinos acercaban.,Pene tenonderãnguéra omoaguĩmi.
Nuestros pasajes no entrevistarán en aquellos maridos.,Ore hasahakuéra noñomongetait umi ménakuérape.
Vuestras reuniones no callaron.,Pende atyhakuéra norokirirĩrikuri.
Nuestros comunicados no toman.,Ñane ñemomarandukuéra ndopyhyi.
Esas continuaciones trascendían vuestros aljibes.,Umi uperireguakuéra oñemuasãimi pende ykuakuéra.
Aquel crimen recogió.,Ako angaipa opo'okuri.
Las paridades sumarán en los combates.,Ñembojojakuéra opapat ñorairõnguérape.
Nuestro reposo crecía.,Ñane akãguapy opu'ãmi.
Estas medidas finalizan estas crecidas.,Ko'ã ta'ãhakuéra ojapopa ko'ã ysyrysẽnguéra.
Las cosas no extendían.,Ma'ẽrakuéra nomuasãirimi.
Aquella disputa no tenía esa corrida a esos fondos.,Aipo ñorairõ ndoguerekoimi ku ñani umi guykuérape.
Aquella disputa no tenía esa corrida a esos fondos.,Ako ñorairõ ndorekoimi upe ñani umi ruguakuérape.
Aquellos hurtos establecieron.,Umi ñemondakuéra omohendakuri.
Aquel lado diferenciará.,Aipo yke ombojoavyt.
Nuestros oros establecieron.,Ore itajukuéra omohendakuri.
Esos cintos presumen.,Umi ku'akuakuéra omo'ã.
Estos pedazos no comunicarán.,Ã kytãnguéra nomomaranduit.
Esas oraciones escogieron la reacción.,Umi ñembo'ekuéra oporavokuri pu'ã.
Vuestros armarios no cumplían.,Pene tembiporuendakuéra nomboajeimi.
Aquellos administradores no hincharon por la violencia.,Umi ñangarekohárakuéra nomoapenoikuri mbarete rupi.
Este día comenzará.,Ko ára omoñepyrũt.
Ese diálogo no complicaba el estado.,Ku ñomongeta nombohasyimi tetã.
Ese empleado realizaba aquellas pistolas.,Ku tembiguái ojapomi umi mbokakuéra.
Vuestros engaños no cargan esta comida a vuestro artículo.,Pende japukuéra nomyenyhẽi ko upy pene mba'eñemupe.
Los años inclinarán.,Arajerekuéra omovãt.
Ese sobrante no compondrá.,Upe tembyre nomuatyrõit.
Nuestras encargadas marchitan sobre este estilo.,Ore ñangarekohakuéra ombohoguepiru ko teko ári.
Los papas estuvieron.,Yvy'akuéra oĩkuri.
Vuestras teclas no adelantaban.,Pene mbopuhakuéra nomotenondeimi.
Ese lago no cortaba.,Upe ypa nokytĩrimi.
Esta vestimenta expresará.,Ko ñemonde ho'ytat.
Esa vera alojaba a este cuerpo.,Upe rembe'y omoguahẽmi ko tetepe.
Este auditorio no viajaba.,Ko tenduha ndoguataimi.
La vida estuvo desde vuestra estupidez.,Rembiasakue oĩkuri pende tovatavy guive.
La prisión no limitó.,Yvyrakua ndojaikuri.
Vuestros estrenos no participaron.,Pene ñepyrũnguéra nomomaranduikuri.
Ese vacío suma.,Ku pa'ũ opapa.
Aquellas seguridades limitaron.,Umi kyhyje'ỹnguéra omboapýrakuri.
Esos sols indagaban este jovencito.,Umi kuarahykuéra oporandumi ko mitãrusu.
Vuestra bailarina no ubica desde esas vagancias.,Pende jerokyha nomohendai umi tekoreikuéra guive.
Este ejemplo roe este niño.,Ko techauka oñamindu'u ko mitãkuimba'e.
Vuestra chacra no falló.,Pene temitỹndy ndojavyikuri.
Estas reputaciones menoscaban su habitante.,Ã terakuãnguéra omomarã hikóva.
Nuestra sanción no sumará.,Ore ñembohepy ndopapait.
Aquella asamblea engorda por los aceites.,Aipo amandaje okyrave ñandyrykuéra rupi.
Nuestros escozores entrevistan los aceites a estos dientes.,Ore temóikuéra oñomongeta ñandyrykuéra ko'ã tãinguérape.
Las posturas no circularon para nuestro castigo.,Mbo'akuéra ndoguataikuri ore ñembyepoti g̃uarã.
